ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,PRODUCTLINE,CUSTOMERNAME,COUNTRY,DEALSIZE
41,21,100,4905.39,7/19/2004 0:00,Shipped,Classic Cars,Souveniers And Things Co.,Australia,Medium
42,34,100,8014.82,8/17/2004 0:00,Shipped,Classic Cars,Amica Models & Co.,Italy,Large
43,37,100,7136.19,9/8/2004 0:00,Shipped,Classic Cars,Scandinavian Gift Ideas,Sweden,Large
44,47,100,10172.7,10/11/2004 0:00,Shipped,Classic Cars,Auto Assoc. & Cie.,France,Large
45,48,100,11623.7,10/21/2004 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Large
46,40,100,6000.4,11/4/2004 0:00,Shipped,Classic Cars,Online Diecast Creations Co.,USA,Medium
47,26,100,3003,11/18/2004 0:00,Shipped,Classic Cars,Mini Wheels Co.,USA,Medium
48,30,100,3944.7,11/29/2004 0:00,Shipped,Classic Cars,"Australian Collectors, Co.",Australia,Medium
49,32,100,5691.84,12/10/2004 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Medium
50,41,100,4514.92,1/20/2005 0:00,Shipped,Classic Cars,Collectables For Less Inc.,USA,Medium
51,36,100,8254.8,2/17/2005 0:00,Shipped,Classic Cars,Corporate Gift Ideas Co.,USA,Large
52,24,100,2416.56,3/9/2005 0:00,Shipped,Classic Cars,"Anna's Decorations, Ltd",Australia,Small
53,23,100,4140.23,5/1/2005 0:00,Shipped,Classic Cars,Quebec Home Shopping Network,Canada,Medium
54,50,100,12001,5/31/2005 0:00,In Process,Classic Cars,Euro Shopping Channel,Spain,Large
55,39,99.91,3896.49,2/24/2003 0:00,Shipped,Motorcycles,Land of Toys Inc.,USA,Medium
56,29,96.34,2793.86,4/29/2003 0:00,Shipped,Motorcycles,"Australian Collectors, Co.",Australia,Small
57,27,100,3307.77,7/1/2003 0:00,Shipped,Motorcycles,Lyon Souveniers,France,Medium
58,37,100,5192.95,8/25/2003 0:00,Shipped,Motorcycles,Toys4GrownUps.com,USA,Medium
59,37,100,5016.83,10/10/2003 0:00,Shipped,Motorcycles,Corporate Gift Ideas Co.,USA,Medium
60,27,100,3660.93,10/28/2003 0:00,Shipped,Motorcycles,Technics Stores Inc.,USA,Medium
61,42,100,4695.6,11/11/2003 0:00,Shipped,Motorcycles,Daedalus Designs Imports,France,Medium
62,38,96.34,3660.92,11/18/2003 0:00,Shipped,Motorcycles,Herkku Gifts,Norway,Medium
63,24,100,3025.92,12/1/2003 0:00,Shipped,Motorcycles,Mini Wheels Co.,USA,Medium
64,23,100,3009.09,1/12/2004 0:00,Shipped,Motorcycles,Osaka Souveniers Co.,Japan,Medium
65,47,100,5422.39,2/20/2004 0:00,Shipped,Motorcycles,"Australian Collectors, Co.",Australia,Medium
66,22,100,2852.08,4/3/2004 0:00,Shipped,Motorcycles,Motor Mint Distributors Inc.,USA,Small
67,44,100,5756.52,5/18/2004 0:00,Shipped,Motorcycles,Tekni Collectables Inc.,USA,Medium
68,40,100,4472,6/28/2004 0:00,Shipped,Motorcycles,Gift Depot Inc.,USA,Medium
69,22,100,2904.44,7/23/2004 0:00,Shipped,Motorcycles,La Rochelle Gifts,France,Small
70,47,100,6484.59,8/27/2004 0:00,Shipped,Motorcycles,Marta's Replicas Co.,USA,Medium
71,39,96.34,3757.26,9/27/2004 0:00,Shipped,Motorcycles,Atelier graphique,France,Medium
72,34,100,4043.96,10/15/2004 0:00,Shipped,Motorcycles,Mini Classics,USA,Medium
73,45,100,5566.5,11/2/2004 0:00,Shipped,Motorcycles,Diecast Classics Inc.,USA,Medium
74,20,100,3176,11/15/2004 0:00,Shipped,Motorcycles,Land of Toys Inc.,USA,Medium
75,40,68.92,2756.8,11/23/2004 0:00,Shipped,Motorcycles,"Tokyo Collectables, Ltd",Japan,Small
76,26,51.15,1329.9,12/17/2004 0:00,Shipped,Motorcycles,Souveniers And Things Co.,Australia,Small
77,39,100,5288.01,2/2/2005 0:00,Shipped,Motorcycles,"Australian Gift Network, Co",Australia,Medium
78,50,44.51,2225.5,3/3/2005 0:00,Shipped,Motorcycles,FunGiftIdeas.com,USA,Small
79,45,100,5833.8,4/7/2005 0:00,Shipped,Motorcycles,Auto Canal Petit,France,Medium
80,45,100,5887.35,5/13/2005 0:00,Disputed,Motorcycles,Euro Shopping Channel,Spain,Medium
81,27,100,6065.55,2/24/2003 0:00,Shipped,Motorcycles,Land of Toys Inc.,USA,Medium
82,46,100,9264.86,4/29/2003 0:00,Shipped,Motorcycles,"Australian Collectors, Co.",Australia,Large
83,31,100,7023.98,7/1/2003 0:00,Shipped,Motorcycles,Lyon Souveniers,France,Large
84,33,100,5176.38,8/25/2003 0:00,Shipped,Motorcycles,Toys4GrownUps.com,USA,Medium
85,22,100,4132.7,10/10/2003 0:00,Shipped,Motorcycles,Corporate Gift Ideas Co.,USA,Medium
86,20,100,4183,10/28/2003 0:00,Shipped,Motorcycles,Technics Stores Inc.,USA,Medium
87,41,100,8892.9,11/11/2003 0:00,Shipped,Motorcycles,Daedalus Designs Imports,France,Large
88,45,100,8714.7,11/18/2003 0:00,Shipped,Motorcycles,Herkku Gifts,Norway,Large
89,49,100,8065.89,12/1/2003 0:00,Shipped,Motorcycles,Mini Wheels Co.,USA,Large
90,34,100,6123.4,1/12/2004 0:00,Shipped,Motorcycles,Osaka Souveniers Co.,Japan,Medium
91,49,100,9774.03,2/20/2004 0:00,Shipped,Motorcycles,"Australian Collectors, Co.",Australia,Large
92,39,100,7023.9,4/5/2004 0:00,Shipped,Motorcycles,Vitachrome Inc.,USA,Large
93,43,100,7078.23,5/18/2004 0:00,Shipped,Motorcycles,Tekni Collectables Inc.,USA,Large
94,41,100,8336.94,6/28/2004 0:00,Shipped,Motorcycles,Gift Depot Inc.,USA,Large
95,36,100,6901.92,7/23/2004 0:00,Shipped,Motorcycles,La Rochelle Gifts,France,Medium
96,27,100,5438.07,8/27/2004 0:00,Shipped,Motorcycles,Marta's Replicas Co.,USA,Medium
97,29,100,6683.34,9/30/2004 0:00,Shipped,Motorcycles,"Toys of Finland, Co.",Finland,Medium
98,20,100,4570.4,10/15/2004 0:00,Shipped,Motorcycles,Mini Classics,USA,Medium
99,37,100,7667.14,11/2/2004 0:00,Shipped,Motorcycles,Diecast Classics Inc.,USA,Large
100,26,100,5868.2,11/15/2004 0:00,Shipped,Motorcycles,Land of Toys Inc.,USA,Medium
101,39,76.67,2990.13,11/23/2004 0:00,Shipped,Motorcycles,"Tokyo Collectables, Ltd",Japan,Small
102,22,100,3664.1,1/5/2005 0:00,Shipped,Motorcycles,Technics Stores Inc.,USA,Medium
103,22,100,3834.38,2/2/2005 0:00,Shipped,Motorcycles,"Australian Gift Network, Co",Australia,Medium
104,21,86.77,1822.17,3/3/2005 0:00,Shipped,Motorcycles,FunGiftIdeas.com,USA,Small
105,66,100,11886.6,4/8/2005 0:00,Shipped,Motorcycles,"UK Collectables, Ltd.",UK,Large
106,56,100,9218.16,5/13/2005 0:00,Disputed,Motorcycles,Euro Shopping Channel,Spain,Large
107,50,100,7208,2/11/2003 0:00,Shipped,Classic Cars,Danish Wholesale Imports,Denmark,Large
108,46,100,5004.8,4/28/2003 0:00,Shipped,Classic Cars,Salzburg Collectables,Austria,Medium
109,33,100,4398.24,6/12/2003 0:00,Shipped,Classic Cars,"Stylish Desk Decors, Co.",UK,Medium
110,49,100,5597.76,8/10/2003 0:00,Shipped,Classic Cars,Mini Creations Ltd.,USA,Medium
111,32,100,4526.08,10/6/2003 0:00,Shipped,Classic Cars,"Toys of Finland, Co.",Finland,Medium
112,44,100,5924.16,10/23/2003 0:00,Cancelled,Classic Cars,Scandinavian Gift Ideas,Sweden,Medium
113,24,100,3492.48,11/8/2003 0:00,Shipped,Classic Cars,Alpha Cognac,France,Medium
114,26,100,3854.24,11/14/2003 0:00,Shipped,Classic Cars,"Double Decker Gift Stores, Ltd",UK,Medium
115,45,100,5324.4,11/26/2003 0:00,Shipped,Classic Cars,Enaco Distributors,Spain,Medium
116,39,100,5197.92,1/9/2004 0:00,Shipped,Classic Cars,"Men 'R' US Retailers, Ltd.",USA,Medium
117,49,100,5997.6,2/19/2004 0:00,Shipped,Classic Cars,Collectable Mini Designs Co.,USA,Medium
118,20,100,2910.4,5/7/2004 0:00,Cancelled,Classic Cars,Land of Toys Inc.,USA,Small
119,27,100,3378.24,6/17/2004 0:00,Shipped,Classic Cars,Quebec Home Shopping Network,Canada,Medium
120,30,100,3508.8,7/21/2004 0:00,Shipped,Classic Cars,Petit Auto,Belgium,Medium
121,25,100,2992,8/20/2004 0:00,Shipped,Classic Cars,"Royal Canadian Collectables, Ltd.",Canada,Small
122,24,100,3427.2,9/10/2004 0:00,Shipped,Classic Cars,Gifts4AllAges.com,USA,Medium
123,22,100,2692.8,10/14/2004 0:00,Shipped,Classic Cars,"Classic Gift Ideas, Inc",USA,Small
124,33,100,4128.96,11/1/2004 0:00,Shipped,Classic Cars,giftsbymail.co.uk,UK,Medium
125,47,64.93,3051.71,11/5/2004 0:00,Shipped,Classic Cars,Baane Mini Imports,Norway,Medium
126,25,48.05,1201.25,11/21/2004 0:00,Shipped,Classic Cars,Classic Legends Inc.,USA,Small
127,26,75.47,1962.22,12/2/2004 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Small
128,48,54.68,2624.64,12/15/2004 0:00,Shipped,Classic Cars,Reims Collectables,France,Small
129,39,100,4046.25,1/31/2005 0:00,Shipped,Classic Cars,"Oulu Toy Supplies, Inc.",Finland,Medium
130,34,100,4846.7,2/23/2005 0:00,Shipped,Classic Cars,Corporate Gift Ideas Co.,USA,Medium
131,32,100,3370.56,3/17/2005 0:00,Shipped,Classic Cars,Lyon Souveniers,France,Medium
132,64,100,9661.44,4/1/2005 0:00,Shipped,Classic Cars,The Sharp Gifts Warehouse,USA,Large
133,19,100,2764.88,5/6/2005 0:00,On Hold,Classic Cars,Gifts4AllAges.com,USA,Small
134,42,100,5398.26,1/29/2003 0:00,Shipped,Classic Cars,Baane Mini Imports,Norway,Medium
135,31,100,4305.28,4/1/2003 0:00,Shipped,Classic Cars,"La Corne D'abondance, Co.",France,Medium
136,22,100,3347.74,5/28/2003 0:00,Shipped,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,Medium
137,26,100,3188.12,7/24/2003 0:00,Shipped,Classic Cars,Technics Stores Inc.,USA,Medium
138,20,100,3191.2,9/19/2003 0:00,Shipped,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Medium
139,21,100,3536.82,10/21/2003 0:00,Resolved,Classic Cars,Mini Auto Werke,Austria,Medium
140,33,100,5362.83,11/6/2003 0:00,Shipped,Classic Cars,"Stylish Desk Decors, Co.",UK,Medium
141,28,100,3433.36,11/13/2003 0:00,Shipped,Classic Cars,"Classic Gift Ideas, Inc",USA,Medium
142,26,100,4263.74,11/25/2003 0:00,Shipped,Classic Cars,"Saveley & Henriot, Co.",France,Medium
143,31,100,4076.19,12/9/2003 0:00,Shipped,Classic Cars,Diecast Collectables,USA,Medium
144,48,100,7020.48,2/4/2004 0:00,Shipped,Classic Cars,Handji Gifts& Co,Singapore,Large
145,50,100,6426.5,3/11/2004 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Medium
146,28,100,4591.72,5/4/2004 0:00,Shipped,Classic Cars,Super Scale Inc.,USA,Medium
147,26,100,4033.38,6/15/2004 0:00,Shipped,Classic Cars,Handji Gifts& Co,Singapore,Medium
148,32,100,4302.08,7/19/2004 0:00,Shipped,Classic Cars,Souveniers And Things Co.,Australia,Medium
149,44,100,7020.64,8/19/2004 0:00,Shipped,Classic Cars,Diecast Classics Inc.,USA,Large
150,30,100,3855.9,9/8/2004 0:00,Shipped,Classic Cars,Scandinavian Gift Ideas,Sweden,Medium
151,38,100,6680.78,10/13/2004 0:00,Shipped,Classic Cars,Marta's Replicas Co.,USA,Medium
152,40,100,6678,10/22/2004 0:00,Shipped,Classic Cars,Canadian Gift Exchange Network,Canada,Medium
153,46,61.99,2851.54,11/4/2004 0:00,Shipped,Classic Cars,Online Diecast Creations Co.,USA,Small
154,26,100,3188.12,11/19/2004 0:00,On Hold,Classic Cars,"Volvo Model Replicas, Co",Sweden,Medium
155,27,100,4428,11/29/2004 0:00,Shipped,Classic Cars,"Australian Collectors, Co.",Australia,Medium
156,43,100,5780.92,12/10/2004 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Medium
157,35,65.63,2297.05,1/20/2005 0:00,Shipped,Classic Cars,"Anna's Decorations, Ltd",Australia,Small
158,37,100,6231.54,2/17/2005 0:00,Shipped,Classic Cars,Corporate Gift Ideas Co.,USA,Medium
159,37,46.9,1735.3,3/9/2005 0:00,Shipped,Classic Cars,"Anna's Decorations, Ltd",Australia,Small
160,27,100,4427.73,5/1/2005 0:00,Shipped,Classic Cars,Quebec Home Shopping Network,Canada,Medium
161,38,100,5894.94,5/31/2005 0:00,In Process,Classic Cars,La Rochelle Gifts,France,Medium
162,33,100,5265.15,3/3/2003 0:00,Shipped,Classic Cars,Cruz & Sons Co.,Philippines,Medium
163,42,100,7599.9,5/8/2003 0:00,Shipped,Classic Cars,Marseille Mini Autos,France,Large
164,42,100,8008.56,7/2/2003 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Large
165,48,100,9245.76,9/5/2003 0:00,Shipped,Classic Cars,Collectables For Less Inc.,USA,Large
166,41,100,8296.35,10/10/2003 0:00,Shipped,Classic Cars,Corporate Gift Ideas Co.,USA,Large
167,30,100,5019.9,11/4/2003 0:00,Shipped,Classic Cars,"Anna's Decorations, Ltd",Australia,Medium
168,27,100,5411.07,11/12/2003 0:00,Shipped,Classic Cars,Herkku Gifts,Norway,Medium
169,21,100,3840.9,11/20/2003 0:00,Shipped,Classic Cars,"Toms Spezialitten, Ltd",Germany,Medium
170,20,100,3930.4,12/2/2003 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Medium
171,41,100,7498.9,1/15/2004 0:00,Shipped,Classic Cars,Auto Canal Petit,France,Large
172,27,100,4517.91,2/22/2004 0:00,Shipped,Classic Cars,"Vida Sport, Ltd",Switzerland,Medium
173,28,100,5774.72,4/9/2004 0:00,Shipped,Classic Cars,Danish Wholesale Imports,Denmark,Medium
174,24,100,3922.56,6/1/2004 0:00,Cancelled,Classic Cars,"UK Collectables, Ltd.",UK,Medium
175,44,100,9160.36,7/6/2004 0:00,Shipped,Classic Cars,L'ordine Souveniers,Italy,Large
176,50,100,9631,8/2/2004 0:00,Shipped,Classic Cars,Online Mini Collectables,USA,Large
177,21,100,3432.24,8/30/2004 0:00,Shipped,Classic Cars,"Vida Sport, Ltd",Switzerland,Medium
178,33,100,5521.89,10/4/2003 0:00,Shipped,Classic Cars,"Blauer See Auto, Co.",Germany,Medium
179,33,100,6934.62,10/16/2004 0:00,Shipped,Classic Cars,"Toms Spezialitten, Ltd",Germany,Medium
180,31,100,6876.11,11/3/2004 0:00,Shipped,Classic Cars,"Volvo Model Replicas, Co",Sweden,Medium
181,41,71.47,2930.27,11/15/2004 0:00,Shipped,Classic Cars,Land of Toys Inc.,USA,Small
182,45,79.65,3584.25,11/24/2004 0:00,Shipped,Classic Cars,Salzburg Collectables,Austria,Medium
183,33,85.39,2817.87,1/6/2005 0:00,Shipped,Classic Cars,Suominen Souveniers,Finland,Small
184,45,76,3420,2/3/2005 0:00,Shipped,Classic Cars,La Rochelle Gifts,France,Medium
185,26,99.04,2575.04,3/3/2005 0:00,Shipped,Classic Cars,Scandinavian Gift Ideas,Sweden,Small
186,12,100,1961.28,5/17/2005 0:00,Shipped,Classic Cars,Salzburg Collectables,Austria,Small
187,41,100,8690.36,2/11/2003 0:00,Shipped,Classic Cars,Danish Wholesale Imports,Denmark,Large
188,33,100,6034.38,4/16/2003 0:00,Shipped,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Medium
189,46,100,11279.2,6/3/2003 0:00,Shipped,Classic Cars,Muscle Machine Inc,USA,Large
190,33,100,8023.29,8/8/2003 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Large
191,20,100,4904,9/28/2003 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Medium
192,44,100,8594.52,10/22/2003 0:00,Shipped,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Large
193,33,100,7474.5,11/6/2003 0:00,Shipped,Classic Cars,L'ordine Souveniers,Italy,Large
194,21,100,3883.74,11/14/2003 0:00,Shipped,Classic Cars,Mini Creations Ltd.,USA,Medium
195,47,100,8887.7,11/26/2003 0:00,Shipped,Classic Cars,Super Scale Inc.,USA,Large
196,46,100,8602.92,1/2/2004 0:00,Shipped,Classic Cars,"Saveley & Henriot, Co.",France,Large
197,32,100,7181.44,2/12/2004 0:00,Shipped,Classic Cars,"Clover Collections, Co.",Ireland,Large
198,42,100,8378.58,3/19/2004 0:00,Shipped,Classic Cars,CAF Imports,Spain,Large
199,44,100,10606.2,5/5/2004 0:00,Shipped,Classic Cars,Suominen Souveniers,Finland,Large
200,35,100,5818.4,7/20/2004 0:00,Shipped,Classic Cars,Diecast Classics Inc.,USA,Medium
201,41,100,7071.27,8/20/2004 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Large
202,46,100,8411.56,9/9/2004 0:00,Shipped,Classic Cars,Amica Models & Co.,Italy,Large
203,31,100,6570.76,10/14/2004 0:00,Shipped,Classic Cars,"AV Stores, Co.",UK,Medium
204,38,100,7975.44,10/22/2004 0:00,Shipped,Classic Cars,Heintze Collectables,Denmark,Large
205,42,64,2688,11/5/2004 0:00,Shipped,Classic Cars,Baane Mini Imports,Norway,Small
206,33,57.22,1888.26,11/20/2004 0:00,Shipped,Classic Cars,"La Corne D'abondance, Co.",France,Small
207,48,52.36,2513.28,11/1/2004 0:00,Shipped,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,Small
208,42,100,4764.48,12/15/2004 0:00,Shipped,Classic Cars,Reims Collectables,France,Medium
209,32,100,3560.64,1/23/2005 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Medium
210,34,100,3823.64,2/17/2005 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Medium
211,33,69.12,2280.96,3/17/2005 0:00,Shipped,Classic Cars,Lyon Souveniers,France,Small
212,36,100,8677.8,5/5/2005 0:00,Shipped,Classic Cars,Gift Depot Inc.,USA,Large
213,27,100,3394.98,1/29/2003 0:00,Shipped,Trucks and Buses,Baane Mini Imports,Norway,Medium
214,21,100,3415.44,3/26/2003 0:00,Shipped,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,Medium
215,21,100,2439.57,5/28/2003 0:00,Shipped,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain,Small
216,38,100,4829.8,7/24/2003 0:00,Shipped,Trucks and Buses,Technics Stores Inc.,USA,Medium
217,30,100,4100.1,9/19/2003 0:00,Shipped,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,Medium
218,49,100,6563.06,10/21/2003 0:00,Resolved,Trucks and Buses,Mini Auto Werke,Austria,Medium
219,43,100,6817.22,11/6/2003 0:00,Shipped,Trucks and Buses,"Australian Gift Network, Co",Australia,Medium
220,41,100,6163.94,11/13/2003 0:00,Shipped,Trucks and Buses,"Classic Gift Ideas, Inc",USA,Medium
221,38,100,4933.92,11/25/2003 0:00,Shipped,Trucks and Buses,"Saveley & Henriot, Co.",France,Medium
222,28,100,4056.36,12/5/2003 0:00,Shipped,Trucks and Buses,Canadian Gift Exchange Network,Canada,Medium
223,43,100,5759.42,2/2/2004 0:00,Shipped,Trucks and Buses,Auto Assoc. & Cie.,France,Medium
224,25,100,3451,3/11/2004 0:00,Shipped,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,Medium
225,38,100,5920.4,5/4/2004 0:00,Shipped,Trucks and Buses,Super Scale Inc.,USA,Medium
226,41,100,6668.24,6/15/2004 0:00,Shipped,Trucks and Buses,"Tokyo Collectables, Ltd",Japan,Medium
227,28,100,4094.72,7/19/2004 0:00,Shipped,Trucks and Buses,Souveniers And Things Co.,Australia,Medium
228,25,100,2938.5,8/19/2004 0:00,Shipped,Trucks and Buses,Diecast Classics Inc.,USA,Small
229,41,100,6387.8,9/8/2004 0:00,Shipped,Trucks and Buses,Scandinavian Gift Ideas,Sweden,Medium
230,39,100,6396,10/11/2004 0:00,Shipped,Trucks and Buses,Auto Assoc. & Cie.,France,Medium
231,21,100,2669.1,10/22/2004 0:00,Shipped,Trucks and Buses,Canadian Gift Exchange Network,Canada,Small
232,27,100,4784.13,11/4/2004 0:00,Shipped,Trucks and Buses,Online Diecast Creations Co.,USA,Medium
233,33,99.21,3273.93,11/18/2004 0:00,Shipped,Trucks and Buses,Mini Wheels Co.,USA,Medium
234,29,100,3586.43,11/29/2004 0:00,Shipped,Trucks and Buses,"Australian Collectors, Co.",Australia,Medium
235,49,100,5960.36,12/10/2004 0:00,Shipped,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,Medium
236,49,100,8470.14,1/20/2005 0:00,Shipped,Trucks and Buses,"Anna's Decorations, Ltd",Australia,Large
237,20,100,2952,2/17/2005 0:00,Shipped,Trucks and Buses,Corporate Gift Ideas Co.,USA,Small
238,39,63.2,2464.8,3/9/2005 0:00,Shipped,Trucks and Buses,"Anna's Decorations, Ltd",Australia,Small
239,40,100,6232,5/1/2005 0:00,Shipped,Trucks and Buses,Quebec Home Shopping Network,Canada,Medium
240,49,100,7969.36,5/31/2005 0:00,In Process,Trucks and Buses,Euro Shopping Channel,Spain,Large
241,21,100,3036.6,2/24/2003 0:00,Shipped,Motorcycles,Land of Toys Inc.,USA,Medium
242,50,100,8284,5/7/2003 0:00,Shipped,Motorcycles,Reims Collectables,France,Large
243,20,100,2711.2,7/1/2003 0:00,Shipped,Motorcycles,Lyon Souveniers,France,Small
244,49,100,8339.8,8/25/2003 0:00,Shipped,Motorcycles,Toys4GrownUps.com,USA,Large
245,38,100,6238.84,10/10/2003 0:00,Shipped,Motorcycles,Corporate Gift Ideas Co.,USA,Medium
246,35,100,4639.25,11/4/2003 0:00,Shipped,Motorcycles,"Anna's Decorations, Ltd",Australia,Medium
247,40,100,6747.6,11/11/2003 0:00,Shipped,Motorcycles,Daedalus Designs Imports,France,Medium
248,28,100,4512.48,11/18/2003 0:00,Shipped,Motorcycles,Toys4GrownUps.com,USA,Medium
249,25,100,4029,12/1/2003 0:00,Shipped,Motorcycles,Mini Wheels Co.,USA,Medium
250,36,100,4771.8,1/15/2004 0:00,Shipped,Motorcycles,Auto Canal Petit,France,Medium
251,43,100,6087.94,2/21/2004 0:00,Shipped,Motorcycles,Daedalus Designs Imports,France,Medium
252,32,100,4193.28,4/5/2004 0:00,Shipped,Motorcycles,Vitachrome Inc.,USA,Medium
253,46,100,7552.28,5/18/2004 0:00,Shipped,Motorcycles,Tekni Collectables Inc.,USA,Large
254,48,100,6434.4,6/28/2004 0:00,Shipped,Motorcycles,Gift Depot Inc.,USA,Medium
255,43,100,5181.5,8/2/2004 0:00,Shipped,Motorcycles,Online Mini Collectables,USA,Medium
256,49,100,6863.92,8/27/2004 0:00,Shipped,Motorcycles,Marta's Replicas Co.,USA,Medium
